id;name;1992K1;1992K2;1992K3;1992K4;1993K1;1993K2;1993K3;1993K4;1994K1;1994K2;1994K3;1994K4;1995K1;1995K2;1995K3;1995K4;1996K1;1996K2;1996K3;1996K4;1997K1;1997K2;1997K3;1997K4;1998K1;1998K2;1998K3;1998K4;1999K1;1999K2;1999K3;1999K4;2000K1;2000K2;2000K3;2000K4;2001K1;2001K2;2001K3;2001K4;2002K1;2002K2;2002K3;2002K4;2003K1;2003K2;2003K3;2003K4;2004K1;2004K2;2004K3;2004K4;2005K1;2005K2;2005K3;2005K4;2006K1;2006K2;2006K3;2006K4;2007K1;2007K2;2007K3;2007K4;2008K1;2008K2;2008K3;2008K4;2009K1;2009K2;2009K3;2009K4;2010K1;2010K2;2010K3;2010K4;2011K1;2011K2;2011K3;2011K4;2012K1;2012K2;2012K3;2012K4;2013K1;2013K2;2013K3;2013K4;2014K1;2014K2;2014K3;2014K4;2015K1;2015K2;2015K3;2015K4;2016K1;2016K2;2016K3;2016K4;2017K1;2017K2;2017K3;2017K4;2018K1;2018K2;2018K3;2018K4;2019K1;2019K2;2019K3;2019K4;2020K1;2020K2;2020K3
240;Egedal;6205;5607;5371;4805;5186;6841;7475;6548;6789;6782;6460;7114;6703;6264;6798;6915;7452;7687;7446;7147;6582;9579;8529;9077;8477;9313;9419;10436;11367;10419;11236;11205;12390;12002;11395;12320;12816;12893;13050;11639;13108;13582;13317;13208;13539;12754;15594;14545;14689;15117;16145;16564;0;18404;17398;22182;22487;25065;25066;25424;23799;25009;21983;21742;19123;22064;20926;18164;18157;16224;16297;15889;15667;18836;17440;17473;17663;17604;16905;13873;14441;16997;15811;16596;16546;16919;15814;18366;16171;17238;17674;16078;17584;19067;20419;20894;20217;21265;21944;21106;22418;22729;22969;22515;22622;22593;24345;23626;23388;25625;25359;24722;26749;24969;25760
210;Fredensborg;5858;5422;5404;5712;5217;5242;5969;5275;6136;5630;5520;5967;5493;5660;5740;5975;5752;6231;6312;5943;6582;6785;6376;7027;6892;7706;7560;8068;8461;9041;8917;9144;9435;9708;9825;10542;11197;12071;11760;11868;12673;13069;12850;13003;13114;13596;13586;14110;13379;13878;13179;13598;14066;15046;15789;16771;17010;20070;20814;19863;19988;19367;20014;16411;16624;17039;15860;13296;11326;13878;12398;12082;14128;11772;10849;12144;10538;11504;11019;11382;12087;10140;13907;12431;12287;11392;11432;10801;14014;11583;13088;13359;12142;13326;14249;13498;15287;14473;16171;15004;16689;17237;17352;17257;16897;18110;18062;17561;17458;17559;17666;18506;19154;20616;20338
250;Frederikssund;6407;5646;5743;5781;5384;6449;5781;6008;6927;5936;7237;0;6358;6093;8841;7135;7195;8095;7010;7788;8604;8299;8209;9047;9305;9457;8990;10596;10295;8788;10205;11564;12042;10919;11447;12771;12201;12335;14170;13624;13942;14392;13905;14534;13270;15058;14523;14857;14159;15916;13305;15759;16088;17369;18377;18996;21304;23546;21360;25814;24587;24260;23643;20269;22518;21454;0;18369;16041;23897;18188;18993;16997;15765;16059;15659;17326;0;15717;14928;17994;0;15279;18533;0;20109;17890;15560;15845;0;16722;16263;20423;19378;15795;16506;15630;20217;20257;21421;18041;20644;22402;17432;23494;21496;24189;19551;20494;19938;22323;21801;24330;20210;23501
190;Furesø;6315;7140;6630;5607;6158;6075;7540;6599;7348;6978;7325;7171;7123;7190;6663;7452;8297;7873;7567;7803;8196;8593;8920;9243;9544;10349;9902;10530;10817;11635;11203;10894;10001;11918;12099;12257;12843;13260;12509;12601;13860;13793;14148;15440;16111;15291;15311;14991;14636;15863;17145;16764;16848;20831;19873;20825;22087;24179;24026;23612;24114;23274;23471;20893;21032;21812;20436;17899;17369;17164;17674;17989;16707;18540;17865;17227;18766;16716;15847;16397;16174;17402;15693;17118;16466;16836;18037;18478;16503;18462;17801;19070;19270;21131;20253;19574;20147;21739;22486;22265;22972;22748;24157;23068;23317;24364;25124;24082;25231;25887;27047;25571;24804;25494;25673
270;Gribskov;3206;2857;3385;2493;2402;3048;3200;3262;3353;3107;3091;3607;3607;5018;5275;4807;6386;5848;6065;6268;5760;6387;6753;6819;6523;6783;8089;8495;8775;9246;9553;8709;10093;9498;10446;10103;11442;11143;9957;11086;10809;11280;11597;12094;13301;14737;13497;12575;14539;14075;13700;15507;15948;16821;18625;16938;17596;18021;23822;20763;0;23239;19974;19776;20258;19858;16430;15271;0;14365;0;0;14755;15136;15912;14095;13860;15901;15213;13016;0;13513;11996;11995;0;10975;15672;10199;15054;0;12801;12690;14291;12586;12588;13036;13264;14206;16625;19563;15414;16890;16397;16601;16670;16444;17986;17271;17195;21802;19938;18371;17801;19547;20851
260;Halsnæs;0;0;0;0;0;0;5038;3836;0;0;5670;4885;0;0;0;0;0;5902;0;4639;0;5776;0;0;8432;6173;6576;0;7955;9192;10794;10017;11430;11235;10684;0;11345;0;12440;0;0;12431;13452;12550;15295;14376;13358;16050;11488;0;0;15376;14940;16241;0;18557;19787;20924;20883;22193;23682;19522;20974;18158;22186;20205;0;0;15156;14583;12357;14153;0;0;13303;10896;0;0;0;11279;0;15236;0;0;0;0;13686;12727;0;0;15094;0;10750;14565;10382;14120;0;12791;13797;16280;0;15060;0;14447;0;16222;0;13168;0;18848;16668;19491;0;0;0
217;Helsingør;6451;5759;5885;4982;5303;5504;5718;5848;5798;6198;5895;5629;5871;5855;6173;6239;6358;6568;5943;6533;6868;7253;7222;7704;7679;7971;7905;8619;8697;9456;9906;10057;10015;10488;10566;10795;11206;11617;12264;12061;12376;12336;13008;12619;13785;13907;14172;13134;14793;15253;15561;15436;16855;17788;19347;21695;22409;24738;25106;23858;22809;23014;21020;20011;20611;19430;19725;16276;14768;14952;15200;15214;16049;17090;15953;16369;17720;15510;17056;13238;13418;15932;14826;14296;14289;14222;14516;14401;15677;16115;15768;16962;16495;16955;17730;17810;18495;18240;18765;17848;19973;19972;19984;19756;20666;20631;21810;22264;20919;22221;21547;23398;21784;23351;23538
219;Hillerød;6774;7738;6188;6106;6936;6463;6477;6739;6133;6724;6899;6092;6774;6894;6912;7252;7372;8206;7901;8006;8331;8423;9250;9517;9594;9454;10295;10008;10250;11038;11051;12436;10886;12076;12239;13034;12894;14113;13818;14364;15094;14642;15271;15331;15998;14997;16241;15660;16225;16582;16667;16934;18275;19131;18702;22107;21681;23915;24493;25271;23700;25330;24009;22619;23139;21264;19566;19450;18795;19226;17049;16984;17722;17646;16964;18028;16871;16243;15276;14762;15417;16166;15721;17859;16379;17435;17363;18057;18397;17430;17373;17240;17664;18512;17989;18518;19609;19992;20549;20392;21118;21314;23906;22056;23398;23071;23999;23235;23889;25805;25317;25204;24977;24448;24095
223;Hørsholm;8497;9336;8849;7985;8509;7086;8817;7935;8218;9066;9407;9435;7956;8603;9129;9128;9349;8885;10737;8592;10498;11039;11035;10897;11356;11501;12401;12277;8218;11841;13305;12127;13784;13088;13987;15828;17376;15737;14264;16702;15998;15667;17700;17324;17100;19279;18552;19075;18340;18508;18599;19858;22073;22429;24611;27642;27686;29841;30017;29321;29098;28612;29320;27529;25825;26552;27711;0;20639;20262;23336;24538;20717;21433;17353;22241;22409;19619;23569;20600;21395;19776;18467;20718;18632;21051;22141;20939;20348;20052;22625;21798;22684;24890;24422;28023;25824;23957;24761;23883;26135;28102;29881;29122;28557;27335;29130;29019;27426;31519;29936;29294;31667;31520;33395
230;Rudersdal;8420;8518;8508;6865;7325;8244;8053;8774;8388;9008;8822;8544;8701;8113;8459;8175;9115;9449;9242;8843;9659;10645;11192;10538;11955;11309;11290;11607;11980;13359;13116;15238;14861;13599;14656;14792;16173;16875;16504;16822;17162;18014;17954;17855;17774;17335;17266;18072;17834;19478;20046;20068;21976;22655;24721;25462;27681;31054;31168;30081;30006;28007;28125;27364;26268;25093;24028;20753;18733;19915;18516;22387;20282;22867;23480;22376;21590;20651;19765;18704;19554;19106;22824;19022;20288;20671;20401;20692;23098;23003;21982;23281;23608;25796;23400;26112;25790;26377;26410;27952;27619;28104;28765;27189;29288;29362;31404;30074;27564;30062;29177;30016;30706;30977;32627
